casename,Lot,Wafer,Outcome,FailureCode,SNSR1_C1,SNSR1_C2,SNSR1_C3,SNSR1_C4,SNSR1_C5,SNSR1_C6,SNSR1_C7,SNSR1_C8,SNSR1_C9,SNSR1_C10,SNSR1_C11,SNSR1_C12,SNSR1_C13,SNSR1_C14,SNSR1_C15,SNSR2_C1,SNSR2_C2,SNSR2_C3,SNSR2_C4,SNSR2_C5,SNSR2_C6,SNSR2_C7,SNSR2_C8,SNSR2_C9,SNSR2_C10,SNSR2_C11,SNSR2_C12,SNSR2_C13,SNSR2_C14,SNSR2_C15,SNSR3_C1,SNSR3_C2,SNSR3_C3,SNSR3_C4,SNSR3_C5,SNSR3_C6,SNSR3_C7,SNSR3_C8,SNSR3_C9,SNSR3_C10,SNSR3_C11,SNSR3_C12,SNSR3_C13,SNSR3_C14,SNSR3_C15,SNSR4_C1,SNSR4_C2,SNSR4_C3,SNSR4_C4,SNSR4_C5,SNSR4_C6,SNSR4_C7,SNSR4_C8,SNSR4_C9,SNSR4_C10,SNSR4_C11,SNSR4_C12,SNSR4_C13,SNSR4_C14,SNSR4_C15,SNSR5_C1,SNSR5_C2,SNSR5_C3,SNSR5_C4,SNSR5_C5,SNSR5_C6,SNSR5_C7,SNSR5_C8,SNSR5_C9,SNSR5_C10,SNSR5_C11,SNSR5_C12,SNSR5_C13,SNSR5_C14,SNSR5_C15,SNSR6_C1,SNSR6_C2,SNSR6_C3,SNSR6_C4,SNSR6_C5,SNSR6_C6,SNSR6_C7,SNSR6_C8,SNSR6_C9,SNSR6_C10,SNSR6_C11,SNSR6_C12,SNSR6_C13,SNSR6_C14,SNSR6_C15
1,B#3248,W#12,0,normal,-5,605,604,603,-5,557,551,552,551,551,550,550,550,550,20,-17,17,-60,-17,-17,73,-55,-57,-56,-55,-58,-58,-58,-58,-17,74,2451,2410,2400,1357,1392,1392,1389,1392,1395,1395,1392,1395,1395,1392,1,2047,2047,2047,1,1231,1263,1286,1297,1302,1306,1307,1142,1135,166,-11,855,964,457,-11,1002,1007,987,971,962,964,997,996,979,130,0,0,-21,0,0,0,-113,-115,-116,-116,-117,-110,-108,-107,0
2,B#3248,W#13,0,normal,-5,-5,605,603,-5,556,551,552,551,552,551,551,550,550,-3,-17,-17,688,-17,-17,117,-55,-57,-58,-57,-57,-56,-57,-58,-17,32,2384,2461,2397,1213,1389,1392,1389,1392,1389,1392,1392,1398,1398,1370,1,1,2047,2047,1,1224,1253,1283,1296,1305,1306,1304,1144,1135,20,-11,-11,934,484,-11,984,1009,994,970,964,960,992,994,978,6,0,0,0,0,0,0,-112,-115,-115,-116,-116,-110,-108,-107,0
3,B#3248,W#14,0,normal,-5,-5,605,604,-5,553,551,551,551,552,550,550,550,550,-3,-17,-17,627,-18,-18,290,-54,-57,-57,-57,-56,-56,-57,-58,-18,74,2320,2445,2397,1034,1389,1392,1392,1392,1392,1392,1395,1395,1392,1360,1,1,2047,2047,1,1212,1257,1276,1294,1304,1306,1306,1150,1139,19,-11,-11,929,536,-11,960,1016,999,972,963,964,998,996,982,5,0,0,-1,0,0,24,-110,-115,-116,-116,-116,-112,-109,-108,0
4,B#3248,W#15,0,normal,-5,-6,603,603,-5,554,551,552,551,551,551,551,551,551,-3,-18,-18,701,-18,-18,114,-54,-56,-57,-58,-58,-58,-59,-60,-18,74,2317,2461,2400,685,1392,1392,1392,1392,1398,1395,1395,1395,1392,1366,1,1,2047,2047,1,1208,1253,1276,1293,1301,1310,1308,1151,1138,20,-11,-11,929,569,-11,939,1012,1000,976,962,967,1000,997,982,5,0,0,0,-1,0,0,-109,-115,-115,-116,-116,-111,-109,-108,0
5,B#3248,W#16,0,normal,-5,-5,605,603,-5,558,551,552,551,551,551,551,551,552,20,-18,-18,14,-18,-18,76,-55,-56,-58,-58,-58,-58,-59,-57,-17,74,2394,2451,2400,1296,1389,1389,1392,1392,1395,1395,1392,1398,1398,1392,1,1,2047,2047,1,1224,1258,1277,1294,1304,1305,1305,1141,1136,167,-11,-11,969,476,-11,991,1014,996,968,962,964,1003,997,980,130,0,0,-22,1,0,0,-112,-115,-115,-116,-116,-110,-108,-107,0
6,B#3248,W#17,0,normal,-5,-5,604,603,-5,557,552,551,551,551,551,551,551,551,19,-17,-18,42,-17,-18,79,-55,-57,-58,-57,-58,-56,-58,-58,-18,54,2390,2458,2400,1210,1392,1392,1392,1392,1392,1395,1395,1395,1392,1382,1,1,2047,2047,1,1220,1252,1280,1298,1306,1311,1310,1149,1142,166,-11,-11,981,484,-11,984,1013,988,970,964,969,1007,1003,988,130,0,0,-22,0,0,0,-112,-115,-115,-116,-117,-111,-109,-109,0
7,B#3248,W#18,0,normal,-5,-5,604,604,-5,554,551,551,551,552,550,550,550,551,-4,-17,-17,432,-17,-17,115,-55,-56,-56,-56,-57,-56,-58,-57,-17,54,2336,2422,2403,1027,1392,1395,1392,1392,1392,1389,1395,1395,1395,979,1,1,2047,2047,1,1216,1253,1277,1299,1306,1311,1308,1145,1137,4,-11,-11,921,527,-11,967,1009,1001,974,970,969,999,996,982,-9,0,0,0,0,0,0,-110,-115,-115,-116,-117,-110,-108,-107,0
8,B#3248,W#19,0,normal,-5,-5,606,604,-5,552,551,551,551,551,551,551,551,551,551,-17,-17,26,-18,-18,62,-54,-57,-57,-58,-58,-58,-59,-59,-17,74,2394,2470,2403,1254,1389,1389,1392,1389,1392,1395,1395,1395,1395,1392,1,1,2047,2047,1,1233,1260,1279,1296,1304,1311,1309,1141,1137,1135,-11,-11,970,477,-11,1008,1016,985,970,965,973,1006,999,984,981,0,0,-22,1,0,0,-113,-115,-116,-116,-117,-110,-108,-108,0
9,B#3248,W#20,0,normal,-5,-5,607,604,-5,557,551,551,551,551,551,550,550,550,20,-17,-17,33,-17,-18,68,-55,-58,-57,-57,-58,-58,-59,-59,-18,54,2397,2451,2400,1229,1389,1392,1395,1389,1389,1389,1392,1395,1392,1392,1,1,2047,2047,1,1220,1255,1279,1295,1305,1308,1304,1150,1135,172,-11,-11,973,497,-11,978,1007,991,973,966,968,1002,1000,980,134,0,0,-1,1,0,0,-111,-115,-115,-116,-116,-112,-108,-107,0
10,B#3248,W#21,0,normal,-5,-5,606,604,-5,553,551,552,551,551,551,551,551,551,-3,-18,-18,9,-18,-18,114,-56,-58,-59,-59,-58,-59,-59,-60,-18,74,2390,2445,2400,1203,1392,1395,1398,1389,1395,1392,1392,1395,1392,1366,1,1,2047,2047,1,1211,1248,1276,1293,1302,1311,1309,1145,1136,19,-11,-11,960,505,-11,961,1005,991,978,966,971,1003,998,983,5,0,0,0,0,0,0,-110,-114,-115,-116,-117,-111,-108,-107,0
