pageName,diffURL,editor,lineDelta,comment
"Dyersburg, Tennessee","http://en.wikipedia.org/w/index.php?diff=629999803&oldid=618911019","172.18.209.220",189,""
"Kern County Raceway Park","http://en.wikipedia.org/w/index.php?diff=629999806&oldid=629992581","cq1l69gr",-269,""
"Don't Hug Me I'm Scared","http://en.wikipedia.org/w/index.php?diff=629999809&oldid=629755575","172.31.213.146",0,"/* Statistics */"
"List of watch manufacturers","http://en.wikipedia.org/w/index.php?diff=629999810&oldid=629999741","4bxlbgr8",-22,"/* A */"
"Canada Games Stadium","http://en.wikipedia.org/w/index.php?diff=629999812&oldid=629999601","vh8cg0sr",45,""
"Shakespeare in Love (playl)","http://en.wikipedia.org/w/index.php?diff=629999816&oldid=629999792","rs73973d",-1,"Redirected to correct name"
"Dependent clause","http://en.wikipedia.org/w/index.php?diff=629999817&oldid=626821351","172.19.10.160",3,"/* Noun clause */"
"Solo Ads","http://en.wikipedia.org/w/index.php?diff=629999819&oldid=629999157","addonyp7",1,"/* Tracking */"
"Thinking Out Loud (song)","http://en.wikipedia.org/w/index.php?diff=629999820&oldid=629999696","swd3chgk",4,"/* Certifications */ Thinking Out Loud has been certified platinum in Australia."
"Thanksgiving (United States)","http://en.wikipedia.org/w/index.php?diff=629999822&oldid=629719729","mwcna5f1",-67,"/* Early observances */"
"Kensuke Sasaki","http://en.wikipedia.org/w/index.php?diff=629999823&oldid=627096550","skcvl2db",0,"/* Mixed martial arts career */"
"Pradeep Paunrana","http://en.wikipedia.org/w/index.php?diff=629999824&oldid=629998843","8nu955be",132,"copy edit"
"Paul Artadi","http://en.wikipedia.org/w/index.php?diff=629999825&oldid=629999711","gxp5fchv",75,"/* Professional Career */"
"List of number-one hits of 2014 (Denmark)","http://en.wikipedia.org/w/index.php?diff=629999828&oldid=629201037","1wzh29hq",359,"/* Chart history */ Added week"
"Per un amico","http://en.wikipedia.org/w/index.php?diff=629999831&oldid=615194565","172.20.204.161",0,"/* Track listing */"
"The Real Tuesday Weld","http://en.wikipedia.org/w/index.php?diff=629999832&oldid=616821314","w3z3x2wk",2,"/* Other Work */"
"Vitruvian Partners","http://en.wikipedia.org/w/index.php?diff=629999834&oldid=629997537","172.17.143.84",494,""
"Shakespeare in Love (play)","http://en.wikipedia.org/w/index.php?diff=629999835&oldid=629999578","rs73973d",1188,"Redirected to correct name"
"Apple Records","http://en.wikipedia.org/w/index.php?diff=629999838&oldid=629999487","172.23.129.49",-73,"Reverted 1 edit by [[Special:Contributions/86.15.239.30|86.15.239.30]] ([[User talk:86.15.239.30|talk]]): Unsourced. ([[WP:TW|TW]])"
"Sweet Talker (Jessie J album)","http://en.wikipedia.org/w/index.php?diff=629999840&oldid=629999721","172.27.126.58",-102,"/* Charts */"
"Reykjavík","http://en.wikipedia.org/w/index.php?diff=629999841&oldid=629664278","172.17.162.30",0,""
"Languages of the United States","http://en.wikipedia.org/w/index.php?diff=629999843&oldid=629966370","172.31.38.241",22,""
"Rhian Samuel","http://en.wikipedia.org/w/index.php?diff=629999846&oldid=629999190","peh2thuc",46,"added [[Category:20th-century classical composers]] using [[WP:HC|HotCat]]"
"Nemo Rangers GAA","http://en.wikipedia.org/w/index.php?diff=629999847&oldid=629989222","2ztjom74",-17,"Undid revision 629989222 by [[Special:Contributions/86.47.161.137|86.47.161.137]] ([[User talk:86.47.161.137|talk]])"
"Baker–Campbell–Hausdorff formula","http://en.wikipedia.org/w/index.php?diff=629999848&oldid=629999352","obpd7a6w",39,"/* External links */"
"Hurricane Gonzalo","http://en.wikipedia.org/w/index.php?diff=629999850&oldid=629993945","172.23.255.66",0,""
"American-led intervention in Syria","http://en.wikipedia.org/w/index.php?diff=629999851&oldid=629999539","5kjgycp0",-2,"/* Foreign reactions */"
"Transport in Barbados","http://en.wikipedia.org/w/index.php?diff=629999852&oldid=622276109","amsjxtbg",88,"merger proposal"
"National Pantheon of Venezuela","http://en.wikipedia.org/w/index.php?diff=629999858&oldid=629999607","tx7n4ycu",13,"Adding/removing external link(s)"
"John Palumbo","http://en.wikipedia.org/w/index.php?diff=629999859&oldid=600352516","2l8b2yg3",1277,"added content and references"
"List of mezzo-sopranos in non-classical music","http://en.wikipedia.org/w/index.php?diff=629999860&oldid=629982458","qo3neeqv",-24,"Reverted [[WP:AGF|good faith]] edits by [[Special:Contributions/213.122.174.85|213.122.174.85]] ([[User talk:213.122.174.85|talk]]): Unsourced. ([[WP:TW|TW]])"
"Unemployment","http://en.wikipedia.org/w/index.php?diff=629999861&oldid=628991242","172.27.176.219",21,"/* Definitions, types, and theories */"
"Rhian Samuel","http://en.wikipedia.org/w/index.php?diff=629999863&oldid=629999846","peh2thuc",46,"added [[Category:21st-century classical composers]] using [[WP:HC|HotCat]]"
"Danse macabre (Saint-Saëns)","http://en.wikipedia.org/w/index.php?diff=629999866&oldid=629586618","172.24.203.117",3,"/* Analysis */"
"Chadwick Stokes Urmston","http://en.wikipedia.org/w/index.php?diff=629999867&oldid=629999787","172.25.24.56",4,""
"Per un amico","http://en.wikipedia.org/w/index.php?diff=629999868&oldid=629999831","172.18.139.100",1,"/* Track listing */"
"Power-system protection","http://en.wikipedia.org/w/index.php?diff=629999869&oldid=626561235","172.21.57.246",0,"/* Protective device */"
"Devil's Highway (film)","http://en.wikipedia.org/w/index.php?diff=629999873&oldid=629999655","g8onhct8",27,"++ change sect names. model after article page, [[Prometheus (2012)]]."
"List of PlayStation Vita games","http://en.wikipedia.org/w/index.php?diff=629999874&oldid=629981626","172.21.108.56",9,"/* Games list */"
"Shakespeare in Love (play)","http://en.wikipedia.org/w/index.php?diff=629999875&oldid=629999835","rs73973d",-40,"Details"
"PFC Haskovo","http://en.wikipedia.org/w/index.php?diff=629999876&oldid=629469192","6k8b2ymd",0,""
"Telenor Bulgaria","http://en.wikipedia.org/w/index.php?diff=629999878&oldid=629998505","zja70mmr",81,""
"AS Monaco FC in European football","http://en.wikipedia.org/w/index.php?diff=629999880&oldid=629971596","6e9mephv",0,"/* Matches */ Corrected home and away scores."
"José María Salmerón","http://en.wikipedia.org/w/index.php?diff=629999881&oldid=629999797","nnvm6b77",4,"/* External links */ Correcting one cat."
"Cattle egret","http://en.wikipedia.org/w/index.php?diff=629999882&oldid=627904273","172.19.189.44",2,"/* Taxonomy */"
"Tony Rome","http://en.wikipedia.org/w/index.php?diff=629999890&oldid=629998689","kdpapnnz",727,""
"Nuclear power proposed as renewable energy","http://en.wikipedia.org/w/index.php?diff=629999892&oldid=629970981","8a4xhrs6",19,"/* Conventional fission, breeder reactors as renewable */"
"Lophiocarpaceae","http://en.wikipedia.org/w/index.php?diff=629999893&oldid=616379765","172.26.130.10",52,""
"Walter White (Breaking Bad)","http://en.wikipedia.org/w/index.php?diff=629999894&oldid=629989555","m6klyy1v",76,"/* Season 1 */ Copyedit"
"C/2013 A1","http://en.wikipedia.org/w/index.php?diff=629999895&oldid=629974138","6yiuglmw",255,"At an apparent magnitude of 0.9, Mars is estimated to be about 11 thousand times brighter than the diffuse looking comet with a low surface brightness.<ref>[[Apparent magnitude#Calculations|Math]]: <math>(\sqrt[5]{100})^{11-0.9}\approx 10964</math></ref>"
"Konrád Verebélyi","http://en.wikipedia.org/w/index.php?diff=629999896&oldid=626312629","tk6ldtzi",-3,"/* Club statistics */"
"Nadine Samonte","http://en.wikipedia.org/w/index.php?diff=629999898&oldid=629999689","bfo67tp3",2,"/* Filmography */"
"Koala (song)","http://en.wikipedia.org/w/index.php?diff=629999900&oldid=629999761","172.28.118.239",1,"added punctuation"
"Kensuke Sasaki","http://en.wikipedia.org/w/index.php?diff=629999904&oldid=629999823","skcvl2db",-4,"/* Mixed martial arts career */"
"Rhian Samuel","http://en.wikipedia.org/w/index.php?diff=629999905&oldid=629999863","peh2thuc",35,"added [[Category:British music writers]] using [[WP:HC|HotCat]]"
"CD Cudillero","http://en.wikipedia.org/w/index.php?diff=629999907&oldid=629999620","clxp936f",0,"/* Season to season */"
"Nadine Moussa","http://en.wikipedia.org/w/index.php?diff=629999908&oldid=623457262","172.16.180.13",0,"/* Professional carrier */"
"PLANTA Project","http://en.wikipedia.org/w/index.php?diff=629999906&oldid=546129405","2zxg4huy",-8,"Redundant: present tense indicates the present/current condition"
"List of number-one albums from the 2010s (Denmark)","http://en.wikipedia.org/w/index.php?diff=629999910&oldid=629202022","1wzh29hq",29,"/* 2014 */ Added week"
"Saint Regulus","http://en.wikipedia.org/w/index.php?diff=629999911&oldid=629990435","4e7jm7jn",-127,"Reverting 2 edits unrelated to the subject of this article"
"Aitken Centre","http://en.wikipedia.org/w/index.php?diff=629999912&oldid=606698583","vh8cg0sr",45,""
"Color changing malware","http://en.wikipedia.org/w/index.php?diff=629999914&oldid=629999007","9hksdvc2",-4,""
"James C. Robinson (health economist)","http://en.wikipedia.org/w/index.php?diff=629999917&oldid=601318501","83gk2qli",-112,"[[Wikipedia:Authority control]]. DOB from Library of Congress file"
"Rhian Samuel","http://en.wikipedia.org/w/index.php?diff=629999918&oldid=629999905","peh2thuc",33,"added [[Category:Welsh women writers]] using [[WP:HC|HotCat]]"
"2012 Grand Prix motorcycle racing season","http://en.wikipedia.org/w/index.php?diff=629999920&oldid=629995222","s9jzhcps",56,"/* Riders' points standings */"
"Josh Vela","http://en.wikipedia.org/w/index.php?diff=629999923&oldid=629999392","pvqen8a2",-112,"Reverted 2 edits by [[Special:Contributions/Tomtrump|Tomtrump]] ([[User talk:Tomtrump|talk]]). ([[WP:TW|TW]])"
"King Philip's War","http://en.wikipedia.org/w/index.php?diff=629999937&oldid=629971984","172.28.137.49",0,""
"Oxbow lake","http://en.wikipedia.org/w/index.php?diff=629999939&oldid=629999706","172.29.115.162",-5,""
"Rhian Samuel","http://en.wikipedia.org/w/index.php?diff=629999940&oldid=629999918","peh2thuc",40,"added [[Category:20th-century Welsh writers]] using [[WP:HC|HotCat]]"
"Devil's Highway (film)","http://en.wikipedia.org/w/index.php?diff=629999943&oldid=629999873","g8onhct8",18,"/* Release */ add sect, per model at [[Prometheus (2012)]]"
"T. J. Yeldon","http://en.wikipedia.org/w/index.php?diff=629999944&oldid=628523193","s7ns62ny",0,"/* College career */"
"Endre Botka","http://en.wikipedia.org/w/index.php?diff=629999946&oldid=629998521","tk6ldtzi",0,"/* Club statistics */"
"Ice protection system","http://en.wikipedia.org/w/index.php?diff=629999947&oldid=629998012","172.16.50.109",360,"/* TKS Ice Protection */"
"Anurag Kashyap","http://en.wikipedia.org/w/index.php?diff=629999950&oldid=629998865","wzghm27l",94,""
"Mian Khan","http://en.wikipedia.org/w/index.php?diff=629999951&oldid=622321853","h89x00rc",11,""
"Alexander Gould","http://en.wikipedia.org/w/index.php?diff=629999952&oldid=629758495","172.18.93.250",287,""
"Billboard Music Award","http://en.wikipedia.org/w/index.php?diff=629999956&oldid=629086425","172.19.131.216",6,"/* Ceremonies */"
"National School of Mineral Industry","http://en.wikipedia.org/w/index.php?diff=629999957&oldid=622549631","172.27.34.214",-93,""
"Kraków","http://en.wikipedia.org/w/index.php?diff=629999958&oldid=629994845","x2ijzxkq",-159,"Revert to the revision prior to revision 629512730 dated 2014-10-17  15:45:05 by 83.26.231.237  → [[WP:Crystal ball]], original research"
"David Hackworth","http://en.wikipedia.org/w/index.php?diff=629999960&oldid=629518208","gbwmurc3",331,"/* Controversy */Provided additional content relating to the controversy of his medals"
"Miss World 2014","http://en.wikipedia.org/w/index.php?diff=629999965&oldid=629996735","5b646q6b",15,"/* Contestants */"
"Soyeon Kate Lee","http://en.wikipedia.org/w/index.php?diff=629999966&oldid=607120739","grwswv7y",-18,"repaired link(s) to disambiguation pages ([[WP:DPL|you can help]]) - Robert MacDonald"
"List of all-female bands","http://en.wikipedia.org/w/index.php?diff=629999968&oldid=629999602","87jam5q5",116,"/* B */"
"North Tayside (Scottish Parliament constituency)","http://en.wikipedia.org/w/index.php?diff=629999967&oldid=546515787","2zxg4huy",-21,"Redundant: present tense indicates the present/current condition; the past tense tells us what happened previously"
"Languages of Singapore","http://en.wikipedia.org/w/index.php?diff=629999969&oldid=629999740","cprwzff6",53,"/* Renewed interest in learning dialects */"
"Rhian Samuel","http://en.wikipedia.org/w/index.php?diff=629999970&oldid=629999940","peh2thuc",40,"added [[Category:20th-century women writers]] using [[WP:HC|HotCat]]"
"Rogerio Miguel Puga","http://en.wikipedia.org/w/index.php?diff=629999971&oldid=594855618","172.23.42.108",90,""
"Flip Benham","http://en.wikipedia.org/w/index.php?diff=629999972&oldid=625380117","172.18.22.242",341,"/* Recent activities */ Added report of October 13, 2014 demonstration during same-sex weddings"
"Las Vegas Marathon (horse race)","http://en.wikipedia.org/w/index.php?diff=629999976&oldid=629999804","098jk5l7",1,"/* Race history */"
"Chadwick Stokes Urmston","http://en.wikipedia.org/w/index.php?diff=629999977&oldid=629999867","172.30.117.24",0,""
"Alexander Gould","http://en.wikipedia.org/w/index.php?diff=629999978&oldid=629999952","172.29.254.238",4,""
"Unified Modeling Language","http://en.wikipedia.org/w/index.php?diff=629999984&oldid=629937046","172.30.117.152",0,"/* Adoption */ reorder"
"Killington Ski Resort","http://en.wikipedia.org/w/index.php?diff=629999988&oldid=629995330","zd44lski",-306,"Reverted 1 [[WP:AGF|good faith]] edit by [[Special:Contributions/157.130.1.22|157.130.1.22]] using [[WP:STiki|STiki]]"
"List of songs sung by Ilaiyaraaja","http://en.wikipedia.org/w/index.php?diff=629999989&oldid=623199552","zqk153hz",655,"/* Songs List */"
"Siege of the International Legations","http://en.wikipedia.org/w/index.php?diff=629999990&oldid=629998838","pn3g6t9u",368,"Filled in 3 reference(s) with [[User:Zhaofeng Li/Reflinks]]"
"UV (disambiguation)","http://en.wikipedia.org/w/index.php?diff=629999994&oldid=624188882","0aw3bvah",-2,"consistency: the word ""valdotanian"" does not exist in English (or is highly unusual)"
"András Farkas","http://en.wikipedia.org/w/index.php?diff=629999995&oldid=627800826","tk6ldtzi",-3,"/* Club statistics */"
"Songs of Innocence (album)","http://en.wikipedia.org/w/index.php?diff=629999996&oldid=629996314","172.24.52.80",131,"/* Commercial performance */"
"Molluginaceae","http://en.wikipedia.org/w/index.php?diff=629999998&oldid=629999295","172.28.106.63",70,"/* Genera */"
"Rich Raddon","http://en.wikipedia.org/w/index.php?diff=630000000&oldid=629999725","28wbzzbv",-6,""
"Massachusetts College of Art and Design","http://en.wikipedia.org/w/index.php?diff=630000002&oldid=629995664","pnuvjtgq",-22,"unintentional"
"MattFitzy","http://en.wikipedia.org/w/index.php?diff=630000003&oldid=629998960","7tvfo6ey",-16,"Requesting speedy deletion ([[WP:CSD#A1|CSD A1]]). ([[WP:TW|TW]])"
"Gul Panra","http://en.wikipedia.org/w/index.php?diff=630000005&oldid=629887055","867wdv1b",-28,"/* Filmography */"
"Rhian Samuel","http://en.wikipedia.org/w/index.php?diff=630000006&oldid=629999970","peh2thuc",40,"added [[Category:21st-century Welsh writers]] using [[WP:HC|HotCat]]"
"1987 Constitution of Ethiopia","http://en.wikipedia.org/w/index.php?diff=630000007&oldid=594666679","0aufyss6",-51,"rm duplicated section header"
"The Real Housewives of Orange County","http://en.wikipedia.org/w/index.php?diff=630000009&oldid=629977298","urymjji4",-165,"/* Timeline of housewives */"
"October 17","http://en.wikipedia.org/w/index.php?diff=630000010&oldid=629954902","172.27.117.27",12,"/* Births */"
"South Tyrolean People's Party","http://en.wikipedia.org/w/index.php?diff=630000011&oldid=625885630","0aw3bvah",-2,"consistency: the word ""valdotanian"" does not exist in English (or is highly unusual)"
"List of elections in 2007","http://en.wikipedia.org/w/index.php?diff=630000012&oldid=596111764","0aw3bvah",-2,"consistency: the word ""valdotanian"" does not exist in English (or is highly unusual)"
"List of Gaelic games clubs in Ireland","http://en.wikipedia.org/w/index.php?diff=630000013&oldid=629339626","2ztjom74",20,"/* Wexford */"
"Umberto Bossi","http://en.wikipedia.org/w/index.php?diff=630000014&oldid=626115012","0aw3bvah",-2,"consistency: the word ""valdotanian"" does not exist in English (or is highly unusual)"
"Alan Smithers","http://en.wikipedia.org/w/index.php?diff=630000019&oldid=615740489","172.26.5.224",14,"/* Early life */"
"Ruth Atkins (UK nurse)","http://en.wikipedia.org/w/index.php?diff=630000021&oldid=629956570","jeiu1bj6",407,"Nominated for deletion; see [[Wikipedia:Articles for deletion/Ruth Atkins (UK nurse)]]. ([[WP:TW|TW]])"
"Loboc Church","http://en.wikipedia.org/w/index.php?diff=630000024&oldid=629991479","172.31.13.244",-4,"remove dup"
"Lucy Hale","http://en.wikipedia.org/w/index.php?diff=630000026&oldid=629877060","f1dzad4d",95,""
"Rhian Samuel","http://en.wikipedia.org/w/index.php?diff=630000029&oldid=630000006","peh2thuc",40,"added [[Category:21st-century women writers]] using [[WP:HC|HotCat]]"
"Carlton le Willows Academy","http://en.wikipedia.org/w/index.php?diff=630000033&oldid=629899721","wv10fgt5",44,"/* Carlton le Willows Grammar School */"
"Italian general election, 2013","http://en.wikipedia.org/w/index.php?diff=630000034&oldid=626057056","0aw3bvah",-4,"consistency: the word ""valdotanian"" does not exist in English (or is highly unusual)"
"Anabasis (Xenophon)","http://en.wikipedia.org/w/index.php?diff=630000036&oldid=629392309","172.20.178.180",-2,"Removed commas from the phrase ""treachery, on the part of"" and between the subject and verb ""principles...can""."
"National School of Mineral Industry","http://en.wikipedia.org/w/index.php?diff=630000038&oldid=629999957","172.27.181.123",14,""
"Electoral district of Gilles","http://en.wikipedia.org/w/index.php?diff=630000039&oldid=629999322","wjpvrfbv",92,"add"
"2014 Israel–Gaza conflict","http://en.wikipedia.org/w/index.php?diff=630000044&oldid=629998787","7qbpnwgx",1,"fixed ref"
"Islamic State of Iraq and the Levant","http://en.wikipedia.org/w/index.php?diff=630000048&oldid=629998093","xihirc3j",295,""
"Zsolt Patvaros","http://en.wikipedia.org/w/index.php?diff=630000050&oldid=627800871","tk6ldtzi",-3,"/* Club statistics */"
"Faheem","http://en.wikipedia.org/w/index.php?diff=630000057&oldid=629951265","172.31.79.85",226,""
"Paul Artadi","http://en.wikipedia.org/w/index.php?diff=630000058&oldid=629999825","gxp5fchv",6,"/* Professional Career */"
"Macbeth","http://en.wikipedia.org/w/index.php?diff=630000059&oldid=629952158","6ugrwa1q",22,""
"Brands Hatch","http://en.wikipedia.org/w/index.php?diff=630000062&oldid=626129506","172.20.244.46",-121,"/* Records */  Removed Nick Sexton's lap time. Not a record."
"Lady's Workbox, 1808","http://en.wikipedia.org/w/index.php?diff=630000063&oldid=629999695","ncnu027c",16,"/* The marquetry */ wlfix"
"Social Liberal Forum","http://en.wikipedia.org/w/index.php?diff=630000064&oldid=629999374","172.21.5.231",141,""
